Time	LH_AnkleZ	LH_HipZ	LH_Knee	
0.67985	-0.2314164	-0.09128297	-0.3854371	
0.6799	-0.2309201	-0.09115291	-0.3850946	
0.67995	-0.2308608	-0.09101864	-0.3847223	
0.68	-0.2304743	-0.09088127	-0.3843388	
0.68005	-0.2301825	-0.09074126	-0.3839357	
0.6801	-0.2298333	-0.09059881	-0.3835145	
0.68015	-0.2274494	-0.09049802	-0.3832622	
0.6802	-0.2251293	-0.09040833	-0.3830843	
0.68025	-0.2227658	-0.0903336	-0.3829097	
0.6803	-0.2214445	-0.09025372	-0.3826894	
0.68035	-0.2209769	-0.09016633	-0.382426	
0.6804	-0.2208305	-0.09007498	-0.3821401	
0.68045	-0.2206399	-0.08997685	-0.3818365	
0.6805	-0.2204553	-0.08987035	-0.3815117	
0.68055	-0.2202861	-0.08975641	-0.3811649	
0.6806	-0.2201377	-0.08963513	-0.3807956	
0.68065	-0.2200142	-0.08950569	-0.3804022	
0.6807	-0.2199141	-0.08937046	-0.3799865	
0.68075	-0.2198364	-0.08922876	-0.3795475	
0.6808	-0.2197764	-0.0890817	-0.3790858	
0.68085	-0.219726	-0.08893109	-0.3786032	
0.6809	-0.2196777	-0.08877599	-0.3780989	
0.68095	-0.2174484	-0.08865293	-0.3778727	
0.681	-0.2171646	-0.08852534	-0.3775907	
0.68105	-0.2171658	-0.08840036	-0.3772879	
0.6811	-0.2165405	-0.08827139	-0.3769884	
0.68115	-0.2165416	-0.08814201	-0.3766512	
0.6812	-0.2159662	-0.08800998	-0.3763126	
0.68125	-0.2159661	-0.08787496	-0.375942	
0.6813	-0.2155336	-0.08773734	-0.3755629	
0.68135	-0.2152711	-0.0875966	-0.3751607	
0.6814	-0.21491	-0.08745328	-0.3747414	
0.68145	-0.2124366	-0.08733719	-0.3743759	
0.6815	-0.2101246	-0.08724005	-0.3741898	
0.68155	-0.2077942	-0.08716314	-0.3740197	
0.6816	-0.2066402	-0.08708182	-0.3738047	
0.68165	-0.2063884	-0.08699312	-0.3735462	
0.6817	-0.2062507	-0.08689771	-0.3732682	
0.68175	-0.2060769	-0.08679503	-0.3729726	
0.6818	-0.2059061	-0.08668403	-0.3726569	
0.68185	-0.2057433	-0.08656585	-0.3723211	
0.6819	-0.2055934	-0.08643974	-0.3719636	
0.68195	-0.2054574	-0.08630738	-0.3715852	
0.682	-0.2053368	-0.08616804	-0.3711846	
0.68205	-0.2052283	-0.08602276	-0.3707634	
0.6821	-0.2051264	-0.08587506	-0.3703242	
0.68215	-0.2050292	-0.0857221	-0.3698636	
0.6822	-0.2049289	-0.08556439	-0.3693818	
0.68225	-0.2048175	-0.08540128	-0.3688779	
0.6823	-0.2024991	-0.08526815	-0.3685724	
0.68235	-0.2002368	-0.08515257	-0.3683507	
0.6824	-0.1979257	-0.08504734	-0.3681319	
0.68245	-0.1964165	-0.08493868	-0.3678817	
0.6825	-0.1955532	-0.08482374	-0.3675942	
0.68255	-0.1952155	-0.08470217	-0.3672747	
0.6826	-0.1950705	-0.08457344	-0.366932	
0.68265	-0.1950205	-0.08443795	-0.3665679	
0.6827	-0.1950212	-0.08429562	-0.3661821	
0.68275	-0.1950219	-0.08414835	-0.3657758	
0.6828	-0.1950224	-0.08399586	-0.3653498	
0.68285	-0.1950234	-0.08383898	-0.3649027	
0.6829	-0.1950241	-0.08367844	-0.3644356	
0.68295	-0.192971	-0.08354317	-0.364187	
0.683	-0.1929723	-0.08341089	-0.3638768	
0.68305	-0.1917414	-0.08327748	-0.3635963	
0.6831	-0.1917919	-0.08314797	-0.363257	
0.68315	-0.1905127	-0.08301488	-0.362936	
0.6832	-0.1905135	-0.08287875	-0.362563	
0.68325	-0.1884391	-0.08276317	-0.3623271	
0.6833	-0.188216	-0.08264015	-0.3620352	
0.68335	-0.1878297	-0.08251153	-0.3617382	
0.6834	-0.1877936	-0.08237594	-0.3614221	
0.68345	-0.1870257	-0.08223499	-0.3611048	
0.6835	-0.1870263	-0.08208889	-0.3607473	
0.68355	-0.1866238	-0.08193708	-0.3603801	
0.6836	-0.1864039	-0.08177923	-0.3599914	
0.68365	-0.1861293	-0.08161619	-0.3595858	
0.6837	-0.1858828	-0.08144834	-0.3591613	
0.68375	-0.1856581	-0.08127527	-0.358718	
0.6838	-0.1835663	-0.08113776	-0.3584466	
0.68385	-0.1835669	-0.08099662	-0.3581229	
0.6839	-0.1829241	-0.08085156	-0.3578091	
0.68395	-0.1829254	-0.08070904	-0.3574607	
0.684	-0.1821646	-0.08056274	-0.357118	
0.68405	-0.1821652	-0.08041354	-0.35674	
0.6841	-0.1816641	-0.08026057	-0.3563589	
0.68415	-0.1814827	-0.08010294	-0.355956	
0.6842	-0.1812375	-0.07994267	-0.3555344	
0.68425	-0.1791416	-0.07981838	-0.3552906	
0.6843	-0.1791419	-0.07968996	-0.354993	
0.68435	-0.1785366	-0.07955839	-0.354705	
0.6844	-0.1785378	-0.07942953	-0.3543845	
0.68445	-0.1777944	-0.07929704	-0.3540696	
0.6845	-0.177795	-0.07916162	-0.3537191	
0.68455	-0.1773068	-0.07902198	-0.3533648	
0.6846	-0.1771431	-0.07887702	-0.3529875	
0.68465	-0.1768295	-0.07872757	-0.3525973	
0.6847	-0.1765524	-0.07857355	-0.3521894	
0.68475	-0.1762799	-0.07841431	-0.3517641	
0.6848	-0.1760091	-0.07825331	-0.3513237	
0.68485	-0.1737642	-0.07812087	-0.3509817	
0.6849	-0.1716186	-0.07801135	-0.3507549	
0.68495	-0.170244	-0.07789739	-0.3504968	
0.685	-0.1694689	-0.07777623	-0.3502037	
0.68505	-0.1691306	-0.07764793	-0.3498817	
0.6851	-0.1689959	-0.07751141	-0.3495366	
0.68515	-0.1689822	-0.07736596	-0.3491688	
0.6852	-0.1689829	-0.07721372	-0.3487804	
0.68525	-0.1689839	-0.07705473	-0.3483706	
0.6853	-0.1689845	-0.07688829	-0.3479399	
0.68535	-0.1689855	-0.07671672	-0.3474877	
0.6854	-0.1689862	-0.07654092	-0.3470151	
0.68545	-0.1689873	-0.07636061	-0.3465216	
0.6855	-0.1668905	-0.07620782	-0.3462196	
0.68555	-0.1669628	-0.07605998	-0.3458625	
0.6856	-0.1648128	-0.07593598	-0.3456192	
